region,time,inversion_fraction,ridge_above_deck_fraction,mean_tcc_pct,mean_lcc_pct
east,2013-01-06 14:00:00,0.09320535488759787,1.0,99.5018539428711,99.44770050048828
east,2013-01-06 15:00:00,0.09320535488759787,1.0,99.41220092773438,99.31190490722656
east,2013-01-06 16:00:00,0.09320535488759787,1.0,99.81547546386719,99.78308868408203
east,2013-01-06 17:00:00,0.09320535488759787,1.0,99.98210906982422,99.97877502441406
east,2013-01-06 18:00:00,0.09320535488759787,1.0,100.0,99.99043273925781
east,2013-01-06 19:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-06 20:00:00,0.09320535488759787,1.0,99.92811584472656,99.89959716796875
east,2013-01-06 21:00:00,0.09320535488759787,1.0,99.97134399414062,99.97134399414062
east,2013-01-06 22:00:00,0.09320535488759787,1.0,99.89178466796875,99.79583740234375
east,2013-01-06 23:00:00,0.09320535488759787,1.0,100.0,99.9598388671875
east,2013-01-07 00:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-07 01:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-07 02:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-07 03:00:00,0.09320535488759787,1.0,99.96949005126953,99.96949005126953
east,2013-01-07 04:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-07 05:00:00,0.09320535488759787,1.0,100.0,100.0
east,2013-01-07 06:00:00,0.09320535488759787,1.0,100.0,99.96142578125
east,2013-01-07 07:00:00,0.09320535488759787,1.0,99.99620056152344,99.0795669555664
east,2013-01-07 08:00:00,0.09320535488759787,1.0,99.95182037353516,97.37606048583984
east,2013-01-07 09:00:00,0.09320535488759787,1.0,99.69209289550781,90.48164367675781
east,2013-01-07 10:00:00,0.09320535488759787,1.0,99.33177947998047,94.82152557373047
east,2013-01-07 11:00:00,0.09320535488759787,1.0,97.65966033935547,91.19982147216797
east,2013-01-07 12:00:00,0.09320535488759787,1.0,96.71817016601562,91.41573333740234
east,2013-01-07 13:00:00,0.09320535488759787,1.0,98.86768341064453,90.3490982055664
east,2013-01-07 14:00:00,0.09320535488759787,1.0,98.15214538574219,87.56551361083984
east,2013-01-07 15:00:00,0.09320535488759787,1.0,98.87982940673828,91.14022827148438
east,2013-01-07 16:00:00,0.09320535488759787,1.0,98.62216186523438,92.330810546875
east,2013-01-07 17:00:00,0.09320535488759787,1.0,99.51167297363281,93.99081420898438
east,2013-01-07 18:00:00,0.09320535488759787,1.0,99.21646881103516,94.92139434814453
east,2013-01-07 19:00:00,0.09320535488759787,1.0,99.95215606689453,94.39568328857422
east,2013-01-07 20:00:00,0.09320535488759787,1.0,99.57627868652344,96.92829895019531
east,2013-01-07 21:00:00,0.09320535488759787,1.0,99.66768646240234,93.66045379638672
east,2013-01-07 22:00:00,0.09320535488759787,1.0,99.92794799804688,89.14608001708984
east,2013-01-07 23:00:00,0.09320535488759787,1.0,99.46533966064453,77.55658721923828
east,2013-01-08 00:00:00,0.09320535488759787,1.0,99.97525787353516,63.023868560791016
east,2013-01-08 01:00:00,0.09320535488759787,1.0,100.0,68.99807739257812
east,2013-01-08 02:00:00,0.09320535488759787,1.0,99.9865493774414,61.77022933959961
east,2013-01-08 03:00:00,0.09320535488759787,1.0,99.25885009765625,60.99828338623047
east,2013-01-08 04:00:00,0.09320535488759787,1.0,99.75257110595703,58.60325622558594
east,2013-01-08 05:00:00,0.09320535488759787,1.0,99.41688537597656,63.48374938964844
east,2013-01-08 06:00:00,0.09320535488759787,1.0,99.97998046875,66.06916809082031
east,2013-01-08 07:00:00,0.09320535488759787,1.0,99.92464447021484,68.52972412109375
east,2013-01-08 08:00:00,0.09320535488759787,1.0,99.69914245605469,61.962257385253906
